කොවිඩ් වසංගත ආසාදනය වූ ගර්භණී මව්වරුන් ,  Health 
මාධ්ය නිවේදනය කොරෝනා මරණ 06 වාර්තා වු තහවුරු කරයි ,  Health 
ගුවන් තොටුපොළේ සිදුකළ රත්\u200dරං ජාවාරම, Criminal
ත්\u200dරිකුණාමලය අධ්\u200dයාපන කලාපයේ පාසල් වසා දමයි, State
කෝටි 07ක අයිස් සිව්දෙනෙකු අත්අඩංගුවට, Criminal
කටුනායක ගුවන් තොටුපල පිටවීමේ ඇතුල්වීමේ ආලින්දයත් අමුත්තන්ට වැසේ, State
මුලතිව් පිපිරීමකින් තරුණයෙකු මරුට අයෙකුට බරපතළයි, Criminal
ඉදිරි සති දෙක සියලු උත්සව තහනම් ජනාධිපති මාධ්\u200dය අංශය, State
20210425 ඉදිරි දෙසතියේ සියලු රාජ්\u200dය පෞද්ගලික උත්සව නවතී, State
දඹුල්ල ආර්ථික මධ්\u200dයස්ථානය අද දින 03 කට වසා දැමේ, State
කොටි බෝම්බ යාපනයෙන් මතු වෙයි, Criminal
කොවිඩ් උවදුර අවසන් විසඳුම එන්නත්කරණය පමණයි ජනපති, Political
අපරාධ ක්\u200dරියාවලට සම්බන්ධ පුද්ගලයන් තුන්දෙනෙකු ගිනි අවියක් අත්අඩංගුවට, Criminal
2025 ලංකා නිදහස් පක්ෂය ප්\u200dරමුඛ ආණ්ඩුවක්, Political
ජීවත් වීමේ අයිතිවාසිකම පිළීගන්නා ආණ්ඩුක්\u200dරම ව්\u200dයවස්තාවක්, Political
යෝජිත දිස්ත්\u200dරික් සභාවලටත් නීති නිර්මාණය කිරීමේ බලය ලබා දෙනවාද, Political
වැඩියෙන්ම රට ඇනගෙන තියෙන්නේ ආචාර්යමහාචාර්යවරුන් ගෙනා යෝජනා වලින, Political
ලංකාවේ භාවිතා කෝවිඩ් එන්නත නිසි ප්\u200dරමිතියක් සහිත ද, Health
ඊයේ නිරෝධායන නීති කඩ කළ 19ක් අත්අඩංගුවට, Criminal
රන්ජන් ඇතුළේ යළි සිංදු කියන්න අරන්, Political
සීමාවෙන් එහා ගිය දේශපාලන හරන රාජ්\u200dය අමාත්\u200dය දයාසිරි ජයසේකර මහතා, Political
පාස්කු ප්\u200dරහාරයට මේ 702ක් අත්අඩංගුවට, Criminal
